unique_id,ds,cutoff,y,Naive,SeasonalNaive,AutoETS,AutoARIMA,xgboost,NBEATS,NHITS
hotel_14,2023-05-04,2023-04-07,0.6886792452830188,0.7169811320754716,0.7264150943396226,0.7352899931741916,0.7390990280757472,0.70362896,0.7552242,0.7469933
hotel_14,2023-05-05,2023-04-07,0.8962264150943396,0.7169811320754716,0.7169811320754716,0.7352899931741916,0.7390265218382571,0.78666395,0.7975328,0.8341399
hotel_14,2023-05-06,2023-05-05,0.8490566037735849,0.8962264150943396,0.9056603773584906,0.7980581755989902,0.8416042505874728,0.85832113,0.9005084,0.9274361
hotel_14,2023-05-07,2023-05-05,0.5,0.8962264150943396,0.8490566037735849,0.7980581755989902,0.7734959457685389,0.5997054,0.6407528,0.612233
hotel_14,2023-05-08,2023-05-05,0.7452830188679245,0.8962264150943396,0.7169811320754716,0.7980581755989902,0.7905624632049035,0.72911197,0.76353884,0.7218629
hotel_14,2023-05-09,2023-05-05,0.8207547169811321,0.8962264150943396,0.7358490566037735,0.7980581755989902,0.7732784909203935,0.7414235,0.8540851,0.7666659
hotel_14,2023-05-10,2023-05-05,0.7641509433962265,0.8962264150943396,0.839622641509434,0.7980581755989902,0.7843822023850746,0.7736657,0.8390561,0.8389279
hotel_14,2023-05-11,2023-05-05,0.8113207547169812,0.8962264150943396,0.6886792452830188,0.7980581755989902,0.7723001924340678,0.7737649,0.8125763,0.7362599
hotel_14,2023-05-12,2023-05-05,0.8018867924528302,0.8962264150943396,0.8962264150943396,0.7980581755989902,0.779415011801626,0.86538416,0.9023831,0.78171885
hotel_14,2023-05-13,2023-05-05,0.6981132075471698,0.8962264150943396,0.9056603773584906,0.7980581755989902,0.770884736621039,0.9235711,0.91124994,0.83129126
hotel_14,2023-05-14,2023-05-05,0.4056603773584906,0.8962264150943396,0.8490566037735849,0.7980581755989902,0.7753405275099657,0.6412614,0.6312243,0.43011382
hotel_14,2023-05-15,2023-05-05,0.6792452830188679,0.8962264150943396,0.7169811320754716,0.7980581755989902,0.7692436918548737,0.7475158,0.8016446,0.5624126
hotel_14,2023-05-16,2023-05-05,0.6698113207547169,0.8962264150943396,0.7358490566037735,0.7980581755989902,0.7719355583563015,0.7837735,0.86517024,0.6305423
hotel_14,2023-05-17,2023-05-05,0.6981132075471698,0.8962264150943396,0.839622641509434,0.7980581755989902,0.767513540284062,0.82694304,0.8576368,0.6257675
